
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
126,Tate George,PG,24,NJN,48,380,7.9,.419,.037,.178,2.6,5.2,3.9,22.4,1.3,0.5,17.6,19.5,,-0.4,0.3,-0.1,-0.013,,-5.1,-2.3,-7.4,-0.5
127,Kendall Gill,SG,24,CHH,69,2430,14.0,.503,.060,.281,5.6,9.3,7.5,15.8,1.9,0.8,13.0,22.6,,1.1,1.7,2.9,.056,,0.0,-0.2,-0.2,1.1
128,Armen Gilliam,PF,28,PHI,80,1742,17.5,.541,.001,.420,8.5,20.8,14.7,11.0,1.0,1.8,14.6,26.1,,1.2,1.6,2.8,.077,,-1.8,-1.1,-2.9,-0.4
129,Gerald Glass,SF,25,TOT,60,848,12.1,.444,.097,.115,7.6,11.1,9.3,13.9,2.0,1.4,8.9,19.8,,0.1,0.8,0.9,.053,,-1.9,0.3,-1.6,0.1
130,Mike Gminski,C,33,CHH,34,251,14.1,.532,.000,.120,15.3,20.8,18.2,3.9,0.2,2.0,11.2,16.2,,0.3,0.2,0.5,.104,,-1.8,-2.2,-4.0,-0.1
131,Paul Graham,SG,25,ATL,80,1508,12.7,.526,.252,.234,4.3,9.9,7.0,15.9,2.8,0.3,16.3,20.2,,0.7,1.2,1.9,.060,,-0.5,-0.6,-1.1,0.4
132,Gary Grant,PG,27,LAC,74,1624,11.7,.478,.088,.155,1.8,7.7,4.7,28.4,3.2,0.4,20.2,16.2,,-0.1,1.8,1.6,.049,,-2.3,-0.4,-2.7,-0.3
133,Greg Grant,PG,26,PHI,72,996,8.7,.415,.309,.141,2.6,4.7,3.6,28.3,2.1,0.1,18.8,12.2,,-0.2,0.4,0.2,.010,,-3.5,-2.8,-6.3,-1.1
134,Harvey Grant,SF,27,WSB,72,2667,16.1,.523,.009,.261,5.5,12.0,8.7,12.3,1.3,1.0,6.6,21.9,,3.6,1.4,5.0,.090,,0.5,-0.9,-0.3,1.1
135,Horace Grant,PF,27,CHI,77,2745,17.5,.534,.006,.339,13.9,16.9,15.3,10.1,1.7,2.3,10.4,16.7,,5.4,3.7,9.1,.159,,1.8,1.9,3.7,3.9
136,Jeff Grayer,SG,27,GSW,48,1025,12.0,.512,.040,.385,7.7,9.4,8.6,9.6,1.5,0.5,11.6,18.6,,0.9,0.5,1.5,.069,,-0.9,-1.2,-2.1,0.0
137,A.C. Green,PF,29,LAL,82,2819,16.3,.603,.065,.531,11.5,17.3,14.4,5.9,1.6,0.9,11.8,15.0,,6.1,2.6,8.6,.147,,1.6,0.5,2.1,2.9
138,Litterial Green,PG,22,ORL,52,626,11.6,.489,.051,.485,2.1,3.9,3.1,27.2,1.8,0.4,14.9,19.4,,0.4,0.5,0.8,.064,,-2.2,-2.6,-4.8,-0.4
139,Sean Green,SG,22,IND,13,81,17.5,.546,.182,.073,5.5,6.7,6.1,17.0,1.2,0.8,13.7,34.4,,0.0,0.0,0.0,.021,,1.0,-4.9,-3.9,0.0
140,Sidney Green,PF,32,TOT,39,329,11.3,.453,.022,.348,11.4,27.9,20.0,9.8,0.9,0.9,16.3,15.9,,0.0,0.5,0.4,.065,,-3.9,0.1,-3.8,-0.1
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
141,Tom Gugliotta,PF,23,WSB,81,2795,14.6,.472,.119,.248,8.7,23.1,15.7,16.6,2.4,0.8,15.5,22.6,,-1.6,3.2,1.6,.028,,-1.3,1.5,0.2,1.5
142,Jay Guidinger,C,23,CLE,32,215,9.6,.386,.000,.455,14.5,19.4,17.1,10.2,2.1,2.8,13.2,15.7,,-0.1,0.4,0.3,.067,,-3.7,2.0,-1.7,0.0
143,Tom Hammonds,PF,25,TOT,54,713,9.9,.499,.005,.281,5.7,13.1,9.5,4.7,1.2,1.0,12.0,16.2,,0.1,0.7,0.8,.055,,-3.7,-0.9,-4.6,-0.5
144,Tim Hardaway,PG,26,GSW,66,2609,19.7,.534,.265,.314,2.6,8.7,5.6,39.8,2.1,0.3,14.2,24.3,,5.9,1.6,7.5,.138,,4.5,-1.7,2.8,3.2
145,Derek Harper,SG,31,DAL,62,2108,15.9,.522,.274,.337,2.0,4.6,3.2,25.7,1.8,0.5,11.2,23.5,,2.9,-0.2,2.7,.062,,2.6,-3.5,-0.9,0.6
146,Ron Harper,SG,29,LAC,80,2970,16.1,.523,.155,.332,4.3,11.6,7.9,17.0,2.9,1.6,13.9,22.2,,2.3,3.7,6.0,.097,,0.9,1.4,2.3,3.3
147,Scott Hastings,C,32,DEN,76,670,8.3,.573,.071,.491,6.9,14.8,10.8,6.7,0.9,0.7,17.6,10.0,,0.6,0.7,1.3,.091,,-2.8,0.0,-2.8,-0.1
148,Hersey Hawkins,SG,26,PHI,81,2977,18.3,.593,.262,.416,3.3,9.3,6.3,17.1,2.2,0.6,11.5,22.2,,6.7,1.9,8.5,.138,,3.6,-0.8,2.8,3.6
149,Steve Henson,PG,24,ATL,53,719,11.3,.534,.440,.220,1.8,6.9,4.3,28.5,2.1,0.1,20.7,14.5,,0.8,0.4,1.1,.076,,-1.0,-2.7,-3.7,-0.3
150,Carl Herrera,PF,26,HOU,81,1800,13.1,.580,.005,.396,9.9,18.2,14.3,4.9,1.3,1.2,15.0,15.0,,2.1,2.6,4.6,.123,,-1.5,0.5,-1.0,0.4
151,Rod Higgins,SF,33,SAC,69,1425,12.5,.520,.275,.313,5.0,10.3,7.5,11.8,1.7,1.3,10.3,17.5,,1.5,1.0,2.5,.085,,-0.3,-0.6,-0.9,0.4
152,Sean Higgins,SF,24,GSW,29,591,9.2,.509,.172,.219,4.3,8.5,6.4,15.7,1.1,0.5,21.4,20.7,,-0.4,0.2,-0.1,-0.012,,-2.8,-1.9,-4.8,-0.4
153,Tyrone Hill,C,24,GSW,74,2070,12.9,.541,.008,.447,13.8,27.0,20.4,4.4,1.0,1.2,13.5,13.5,,2.6,2.3,4.9,.112,,-1.2,0.0,-1.1,0.4
154,Donald Hodge,C,23,DAL,79,1267,8.3,.441,.000,.260,7.3,18.8,12.5,8.8,1.3,1.9,16.8,17.2,,-1.3,0.5,-0.9,-0.032,,-5.1,-0.4,-5.5,-1.1
155,Dave Hoppen,C,28,NJN,2,10,9.0,.532,.000,2.000,10.9,32.9,21.8,0.0,0.0,0.0,0.0,7.9,,0.0,0.0,0.0,.089,,-5.7,-4.8,-10.6,0.0
156,Jeff Hornacek,PG,29,PHI,79,2860,18.2,.553,.201,.233,3.2,9.7,6.5,31.6,2.2,0.4,14.0,23.5,,4.5,1.8,6.3,.106,,3.3,-1.0,2.3,3.1
157,Robert Horry,SF,22,HOU,79,2330,12.1,.520,.069,.293,5.8,12.8,9.5,11.9,1.7,2.2,16.8,17.5,,0.4,3.2,3.6,.075,,-2.0,1.9,0.0,1.2
158,Byron Houston,SG,23,GSW,79,1274,10.6,.513,.022,.597,10.4,17.2,13.8,7.1,1.7,2.1,17.5,15.9,,0.5,1.3,1.8,.068,,-2.4,0.7,-1.8,0.1
159,Brian Howard,SF,25,DAL,68,1295,9.7,.482,.017,.227,5.1,13.4,8.8,7.8,2.0,1.7,13.0,16.5,,-0.2,0.5,0.3,.011,,-3.4,-0.2,-3.7,-0.5
160,Stephen Howard,SF,22,UTA,49,260,9.8,.447,.000,.570,11.8,14.4,13.1,5.4,2.9,3.0,16.5,23.0,,-0.3,0.4,0.1,.018,,-5.0,0.7,-4.3,-0.1
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
161,Jay Humphries,SG,30,UTA,78,2034,10.5,.482,.114,.197,2.3,5.6,4.0,22.2,2.5,0.3,15.6,17.9,,0.0,1.8,1.8,.043,,-1.5,-0.4,-1.9,0.0
162,Byron Irvin,SG,26,WSB,4,45,9.5,.533,.056,.333,4.9,5.1,5.0,7.0,1.1,0.0,16.2,23.3,,0.0,0.0,0.0,-0.028,,-4.0,-4.3,-8.3,-0.1
163,Mike Iuzzolino,PG,25,DAL,70,1769,12.7,.561,.301,.312,1.7,7.3,4.3,27.4,1.3,0.2,19.2,15.5,,1.8,-0.3,1.5,.041,,-0.4,-3.2,-3.6,-0.7
164,Jaren Jackson,SG,25,LAC,34,350,11.3,.468,.039,.211,5.9,6.4,6.2,13.5,2.6,0.9,10.8,18.4,,0.1,0.3,0.4,.061,,-2.2,-0.7,-2.9,-0.1
165,Jim Jackson,SF,22,DAL,28,938,11.0,.451,.157,.197,4.4,10.1,7.0,23.1,2.1,0.8,18.5,27.0,,-1.8,0.2,-1.6,-0.081,,-1.9,-1.4,-3.3,-0.3
166,Mark Jackson,PG,27,LAC,82,3117,16.6,.548,.087,.317,4.5,9.3,6.9,31.1,2.1,0.2,17.0,17.1,,5.3,2.7,7.9,.122,,1.8,-0.1,1.7,2.9
167,Henry James,PF,27,TOT,10,88,17.1,.537,.255,.510,8.6,5.3,7.0,1.9,1.6,0.0,10.1,32.4,,0.1,0.0,0.2,.084,,-0.3,-7.2,-7.5,-0.1
168,Keith Jennings,PG,24,GSW,8,136,18.5,.691,.214,.429,1.6,7.4,4.5,24.6,1.4,0.0,12.3,17.1,,0.5,0.1,0.6,.205,,3.2,-3.4,-0.2,0.1
169,Avery Johnson,PG,27,SAS,75,2030,15.8,.556,.016,.357,1.2,6.8,4.1,39.1,2.1,0.5,19.7,15.9,,3.3,1.9,5.2,.122,,0.1,-1.9,-1.8,0.1
170,Buck Johnson,SF,29,WSB,73,1287,10.7,.521,.007,.313,6.7,10.4,8.5,10.1,1.4,0.9,13.2,17.5,,0.6,0.7,1.2,.046,,-2.3,-1.1,-3.4,-0.4
171,Dave Johnson,SG,22,POR,42,356,8.1,.449,.094,.396,5.4,9.5,7.4,5.3,1.1,0.2,13.8,23.4,,-0.4,0.3,-0.1,-0.018,,-5.7,-2.9,-8.6,-0.6
172,Eddie Johnson,SF,33,SEA,82,1869,17.1,.533,.057,.259,7.6,9.4,8.5,11.5,1.0,0.1,10.8,27.9,,3.4,1.5,4.8,.124,,0.8,-2.9,-2.1,-0.1
173,Frank Johnson,PG,34,PHO,77,1122,10.8,.481,.038,.244,4.2,7.0,5.6,21.7,2.6,0.4,18.8,15.6,,0.3,1.2,1.5,.064,,-2.1,-0.2,-2.3,-0.1
174,Kevin Johnson,PG,26,PHO,49,1643,18.1,.576,.014,.488,2.1,4.9,3.5,32.7,2.5,0.7,18.0,21.0,,3.5,1.6,5.1,.148,,1.4,-1.4,0.1,0.9
175,Larry Johnson,PF,23,CHH,82,3323,18.9,.574,.051,.316,9.6,18.0,14.0,15.9,0.8,0.5,12.6,22.4,,7.1,2.5,9.6,.139,,3.3,0.1,3.4,4.6
176,Charles Jones,C,35,WSB,67,1206,7.8,.552,.016,.603,8.0,18.1,12.9,4.3,1.5,3.9,32.3,4.2,,0.3,1.3,1.6,.063,,-4.1,3.4,-0.7,0.4
177,Michael Jordan*,SG,29,CHI,78,3067,29.7,.564,.115,.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,,12.0,5.2,17.2,.270,,8.3,1.2,9.5,8.9
178,Thomas Jordan,PF,24,PHI,4,106,6.9,.454,.000,.415,5.1,14.3,9.7,4.4,1.4,2.8,19.8,24.1,,-0.3,0.1,-0.2,-0.100,,-8.1,-1.4,-9.5,-0.2
179,Adam Keefe,PF,22,ATL,82,1549,13.6,.564,.003,.630,11.8,19.5,15.5,7.0,1.8,0.7,17.2,15.5,,1.9,1.4,3.3,.102,,-1.2,0.1,-1.0,0.4
180,Shawn Kemp,PF,23,SEA,78,2582,20.4,.547,.004,.480,12.8,25.1,18.8,8.8,2.3,3.8,14.6,24.2,,4.0,5.1,9.1,.169,,0.7,2.5,3.2,3.4
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
181,Tim Kempton,PF,29,PHO,30,167,8.6,.454,.000,.646,8.2,17.6,13.0,14.7,1.2,1.4,20.6,19.2,,-0.1,0.2,0.1,.019,,-4.6,0.1,-4.5,-0.1
182,Steve Kerr,SG-PG,27,TOT,52,481,9.4,.505,.213,.197,1.2,8.9,5.3,20.4,1.0,0.1,16.9,14.3,,0.2,0.4,0.6,.057,,-2.8,-1.7,-4.4,-0.3
183,Jerome Kersey,SF,30,POR,65,1719,13.7,.475,.044,.285,7.8,18.4,12.9,10.3,2.3,1.5,10.4,19.3,,0.6,2.8,3.4,.094,,-1.8,1.9,0.1,0.9
184,Alec Kessler,PF,26,MIA,40,415,11.5,.543,.090,.385,6.8,18.6,12.6,5.2,0.5,1.9,12.8,17.1,,0.4,0.4,0.8,.088,,-2.9,-1.3,-4.2,-0.2
185,Bo Kimble,SG,26,NYK,9,55,9.6,.452,.242,.242,6.3,15.7,11.1,16.5,0.9,0.0,14.1,33.4,,-0.1,0.1,0.0,-0.025,,-3.2,-1.9,-5.0,0.0
186,Stan Kimbrough,PG,26,SAC,3,15,8.2,.417,.333,.000,0.0,0.0,0.0,9.3,3.2,0.0,0.0,16.3,,0.0,0.0,0.0,.027,,-3.5,-4.4,-7.9,0.0
187,Bernard King*,SF,36,NJN,32,430,15.7,.552,.040,.322,8.9,10.5,9.7,6.8,1.3,0.4,9.4,21.8,,0.7,0.4,1.2,.134,,0.0,-1.9,-1.9,0.0
188,Rich King,C,23,SEA,3,12,8.7,.510,.000,.400,9.6,39.6,24.3,11.7,0.0,0.0,33.8,31.1,,0.0,0.0,0.0,-0.105,,-10.6,-2.2,-12.7,0.0
189,Stacey King,C,26,CHI,76,1059,12.8,.518,.018,.359,11.1,11.5,11.3,9.2,1.3,1.3,15.1,18.9,,0.9,1.0,1.9,.088,,-1.4,-1.0,-2.4,-0.1
190,Greg Kite,C,31,ORL,64,640,5.3,.471,.012,.286,12.4,21.1,17.0,2.1,1.0,1.1,27.0,8.7,,-0.2,0.9,0.6,.047,,-4.6,0.5,-4.1,-0.3
191,Joe Kleine,C,31,BOS,78,1129,9.6,.439,.022,.217,11.5,23.1,17.4,4.4,0.8,0.9,11.2,12.7,,0.2,1.3,1.5,.064,,-3.3,0.0,-3.3,-0.4
192,Negele Knight,PG,25,PHO,52,888,8.9,.444,.022,.271,3.6,4.4,4.0,21.9,1.2,0.3,17.1,19.9,,-0.4,0.5,0.1,.007,,-3.8,-2.5,-6.3,-1.0
193,Bart Kofoed,SG,28,BOS,7,41,14.9,.444,.077,1.077,0.0,2.7,1.4,30.5,2.5,1.5,13.5,23.5,,0.0,0.0,0.0,.054,,-3.3,-3.7,-7.0,-0.1
194,Jon Koncak,C,29,ATL,78,1975,9.2,.476,.030,.187,5.4,19.2,12.0,8.9,1.9,3.2,15.2,7.1,,0.8,2.2,3.1,.074,,-2.8,3.8,1.0,1.5
195,Larry Krystkowiak,PF,28,UTA,71,1362,11.7,.524,.002,.346,6.4,16.6,11.7,7.1,1.5,0.6,11.2,17.4,,1.1,1.5,2.6,.090,,-2.0,0.1,-2.0,0.0
196,Christian Laettner,PF,23,MIN,81,2823,17.3,.564,.038,.521,7.4,22.7,15.1,13.4,1.9,1.9,17.4,24.9,,2.2,2.8,5.0,.085,,-0.3,0.6,0.3,1.6
197,Bill Laimbeer,C,35,DET,79,1933,14.3,.554,.047,.181,6.0,18.5,12.0,9.7,1.2,1.3,8.7,15.1,,3.3,2.1,5.4,.133,,-0.6,1.4,0.8,1.4
198,Jerome Lane,PF,26,CLE,21,149,18.1,.470,.000,.370,19.3,21.4,20.4,16.7,4.1,1.2,10.0,20.8,,0.2,0.3,0.5,.155,,1.5,2.7,4.2,0.2
199,Andrew Lang,C,26,PHI,73,1861,9.3,.481,.014,.325,7.9,17.4,12.7,5.8,1.2,4.5,18.2,11.1,,-0.2,2.0,1.7,.045,,-4.0,2.8,-1.2,0.4
200,Doug Lee,SG,28,NJN,5,33,-0.2,.357,.429,.000,0.0,6.6,3.3,19.8,0.0,1.9,30.0,12.7,,-0.1,0.0,0.0,-0.067,,-7.7,-2.0,-9.7,-0.1
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
201,Tim Legler,SG,26,TOT,33,635,13.3,.531,.270,.295,3.9,6.3,5.0,11.4,1.8,0.6,9.3,19.3,,0.8,0.0,0.8,.059,,0.4,-2.6,-2.2,0.0
202,Jim Les,PG,29,SAC,73,881,14.7,.584,.595,.193,2.4,9.1,5.6,26.5,2.2,0.5,14.6,15.2,,1.7,0.6,2.3,.127,,1.8,-2.0,-0.3,0.4
203,Reggie Lewis,SG,27,BOS,80,3144,17.4,.529,.043,.267,3.2,9.2,6.3,14.3,1.9,1.5,7.8,23.6,,5.4,3.0,8.3,.127,,1.9,0.5,2.4,3.5
204,Marcus Liberty,SF,24,DEN,78,1585,12.5,.456,.095,.252,8.7,13.7,11.2,9.7,1.9,0.8,10.3,19.7,,0.2,2.0,2.2,.066,,-1.8,0.0,-1.9,0.1
205,Todd Lichti,SG,26,DEN,48,752,12.9,.516,.022,.370,4.9,9.5,7.2,10.2,1.8,0.9,13.2,20.0,,0.4,0.8,1.2,.078,,-2.2,-0.7,-2.9,-0.2
206,Alton Lister,C,34,GSW,20,174,4.3,.472,.000,.310,9.6,18.6,14.1,3.8,0.0,3.2,27.4,15.4,,-0.3,0.1,-0.2,-0.043,,-6.9,-0.8,-7.7,-0.2
207,Brad Lohaus,PF,28,MIL,80,1766,13.3,.550,.375,.164,3.8,14.3,9.0,10.8,1.3,2.7,12.4,18.2,,1.4,1.3,2.7,.073,,-0.5,-0.3,-0.8,0.5
208,Grant Long,PF,26,MIA,76,2728,14.7,.532,.031,.403,8.1,15.9,11.9,10.5,1.9,0.8,11.8,18.0,,3.6,2.9,6.5,.115,,0.5,1.3,1.7,2.5
209,Luc Longley,C,24,MIN,55,1045,10.7,.491,.000,.253,8.2,19.3,13.8,7.6,2.3,4.7,21.3,17.5,,-1.1,1.3,0.2,.007,,-4.8,2.3,-2.5,-0.1
210,Kevin Lynch,SG,24,CHH,40,324,7.6,.568,.017,.644,4.2,7.3,5.8,9.7,1.6,1.1,24.1,12.7,,0.0,0.2,0.2,.031,,-3.2,-0.3,-3.6,-0.1
211,Sam Mack,SF,22,SAS,40,267,13.7,.495,.186,.492,8.1,12.3,10.3,8.5,2.6,1.2,13.3,27.3,,0.0,0.4,0.3,.060,,-2.0,-1.5,-3.4,-0.1
212,Don MacLean,PF,23,WSB,62,674,14.0,.497,.017,.307,5.4,15.2,10.2,9.6,0.8,0.4,9.3,28.5,,0.1,0.3,0.4,.030,,-3.2,-4.2,-7.4,-0.9
213,Mark Macon,PG,23,DEN,48,1141,8.8,.439,.016,.157,3.0,6.5,4.8,15.6,2.9,0.2,15.0,17.1,,-0.8,1.3,0.5,.022,,-3.3,0.4,-2.9,-0.3
214,Rick Mahorn,PF,34,NJN,74,1077,10.3,.554,.014,.514,9.4,18.9,14.1,4.2,0.9,1.8,18.1,12.5,,0.8,1.5,2.3,.102,,-3.0,0.7,-2.3,-0.1
215,Dan Majerle,SG,27,PHO,82,3199,15.4,.573,.400,.238,4.3,8.9,6.7,13.4,2.1,0.6,9.9,17.3,,6.6,3.2,9.8,.147,,3.5,0.5,4.0,4.9
216,Jeff Malone,SG,31,UTA,79,2558,13.7,.538,.007,.230,1.4,6.1,3.9,8.2,0.8,0.1,8.6,24.4,,2.4,1.2,3.6,.068,,-1.1,-2.6,-3.6,-1.1
217,Karl Malone*,PF,29,UTA,82,3099,26.2,.612,.014,.579,8.6,24.6,16.9,16.9,2.0,1.8,11.7,28.4,,10.4,5.0,15.4,.238,,5.4,2.2,7.6,7.6
218,Moses Malone*,C,37,MIL,11,104,18.7,.449,.000,.738,24.2,26.9,25.6,9.6,0.5,5.0,15.2,27.1,,0.0,0.1,0.1,.069,,-3.1,-0.9,-4.0,-0.1
219,Danny Manning,PF,26,LAC,79,2761,19.6,.565,.022,.351,7.8,13.1,10.4,11.7,1.9,2.3,12.6,27.2,,4.7,3.1,7.9,.137,,2.0,0.1,2.1,2.9
220,Sarunas Marciulionis*,SF,28,GSW,30,836,20.4,.618,.046,.649,5.3,7.6,6.5,19.0,2.9,0.1,15.3,24.3,,2.3,0.6,3.0,.170,,3.2,-0.8,2.4,0.9
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
221,Anthony Mason,PF,26,NYK,81,2482,12.9,.549,.000,.464,10.7,17.8,14.3,10.1,0.9,0.5,15.3,15.6,,2.7,4.7,7.4,.143,,-0.5,2.7,2.1,2.6
222,Marlon Maxey,PF,23,MIN,43,520,15.8,.578,.006,.414,15.4,22.5,19.0,3.9,1.1,2.2,16.0,20.3,,0.5,0.4,0.9,.087,,-2.0,-2.5,-4.5,-0.3
223,Vernon Maxwell,SG,27,HOU,71,2251,13.4,.512,.421,.266,1.6,9.1,5.6,19.6,1.9,0.2,12.7,21.5,,1.4,2.5,3.9,.082,,0.6,-0.9,-0.2,1.0
224,Lee Mayberry,PG,22,MIL,82,1503,11.0,.524,.293,.181,2.0,7.1,4.5,25.4,2.0,0.3,17.3,14.0,,1.1,0.6,1.8,.056,,-1.4,-2.2,-3.6,-0.6
225,Travis Mays,PG,24,ATL,49,787,10.1,.494,.272,.265,2.7,4.9,3.7,13.2,1.3,0.2,12.9,20.8,,0.1,0.2,0.3,.020,,-2.0,-3.4,-5.3,-0.7
226,Bob McCann,SF,28,MIN,79,1536,10.9,.519,.005,.371,7.3,14.8,11.1,7.0,1.7,2.4,14.2,16.1,,0.2,1.1,1.3,.041,,-3.0,0.1,-2.9,-0.4
227,George McCloud,SF,25,IND,78,1500,11.2,.496,.345,.194,4.4,10.5,7.5,18.0,1.8,0.5,15.8,19.1,,0.4,1.0,1.4,.044,,-0.4,-1.1,-1.5,0.2
228,Rodney McCray,SF,31,CHI,64,1019,7.6,.489,.025,.255,5.8,12.3,8.9,10.1,0.6,1.0,18.9,11.9,,0.1,0.8,0.9,.044,,-3.6,-0.4,-4.0,-0.5
229,Xavier McDaniel,PF,29,BOS,82,2215,16.3,.539,.024,.261,8.7,16.2,12.5,11.0,1.6,1.4,14.2,23.6,,1.9,2.5,4.4,.096,,0.3,0.5,0.9,1.6
230,Kevin McHale*,PF,35,BOS,71,1656,14.4,.519,.028,.300,6.6,17.8,12.2,6.4,0.5,2.2,11.1,21.7,,1.2,1.6,2.8,.082,,-1.9,-0.6,-2.5,-0.2
231,Derrick McKey,SF,26,SEA,77,2439,15.0,.568,.144,.381,5.7,10.0,7.8,11.2,2.2,1.6,14.3,18.3,,3.6,3.0,6.6,.130,,1.4,1.1,2.5,2.8
232,Nate McMillan,PG,28,SEA,73,1977,15.1,.527,.142,.292,4.9,13.3,9.0,25.2,4.4,1.1,21.2,14.0,,1.9,3.7,5.6,.136,,0.9,3.5,4.4,3.2
233,Oliver Miller,C,22,PHO,56,1069,12.7,.523,.012,.392,7.5,20.9,14.3,14.3,1.7,5.6,26.5,15.7,,-0.4,1.9,1.6,.070,,-3.2,4.5,1.3,0.9
234,Reggie Miller*,SG,27,IND,82,2954,19.4,.617,.351,.407,2.5,7.0,4.8,13.4,2.0,0.6,9.3,22.2,,9.6,1.7,11.3,.183,,5.4,-1.6,3.8,4.4
235,Terry Mills,PF,25,DET,81,2183,15.5,.506,.034,.237,8.5,15.7,12.0,8.5,1.0,1.5,10.7,26.0,,1.7,2.1,3.8,.084,,-1.0,-0.7,-1.7,0.2
236,Harold Miner,SG,21,MIA,73,1383,14.3,.529,.015,.348,6.0,6.2,6.1,9.3,1.2,0.4,11.5,25.1,,1.3,0.7,2.0,.069,,-1.1,-2.8,-3.9,-0.7
237,Sam Mitchell,SF,29,IND,81,1402,11.9,.517,.048,.383,7.4,12.0,9.7,7.7,0.8,0.5,8.3,18.6,,2.1,0.7,2.8,.095,,-0.9,-2.2,-3.1,-0.4
238,Tracy Moore,SG,27,DAL,39,510,14.8,.511,.269,.245,4.5,6.7,5.5,15.4,2.0,0.5,10.4,24.6,,0.5,0.0,0.5,.046,,0.8,-3.5,-2.7,-0.1
239,Chris Morris,SF,27,NJN,77,2302,17.8,.534,.084,.273,10.7,10.8,10.8,7.2,3.1,1.4,10.5,20.7,,3.6,3.6,7.2,.151,,1.7,1.6,3.3,3.1
240,Isaiah Morris,SF,23,DET,25,102,10.6,.468,.000,.070,6.2,6.8,6.5,6.9,1.5,0.6,12.0,28.1,,-0.1,0.1,0.0,-0.022,,-4.7,-3.2,-7.9,-0.2
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
241,Alonzo Mourning*,C,22,CHH,78,2644,20.8,.586,.003,.567,11.2,21.0,16.4,4.3,0.5,5.8,14.4,25.5,,4.8,3.4,8.2,.148,,-0.1,0.2,0.2,1.4
242,Chris Mullin*,SF,29,GSW,46,1902,19.0,.578,.143,.243,2.5,11.2,6.8,14.0,1.7,1.3,11.9,25.1,,3.6,1.3,4.9,.122,,2.4,-0.7,1.7,1.8
243,Eric Murdock,PG,24,MIL,79,2437,19.3,.534,.127,.316,4.5,9.0,6.7,38.2,3.6,0.2,16.3,22.4,,4.0,2.2,6.1,.121,,2.8,-0.4,2.4,2.7
244,Tracy Murray,SF,21,POR,48,495,11.9,.490,.269,.154,8.6,9.8,9.2,3.5,0.8,0.6,10.0,25.6,,0.1,0.4,0.5,.049,,-2.1,-4.2,-6.3,-0.5
245,Jerrod Mustaf,PF,23,PHO,32,336,12.7,.479,.008,.408,9.9,17.5,13.8,4.2,2.0,2.0,12.5,21.5,,0.0,0.5,0.5,.065,,-3.9,-0.9,-4.8,-0.2
246,Dikembe Mutombo*,C,26,DEN,82,3029,17.2,.567,.000,.630,11.9,25.5,18.7,6.8,0.7,5.7,17.8,16.3,,3.3,5.5,8.8,.139,,-1.0,3.7,2.7,3.6
247,Larry Nance,PF,33,CLE,77,2753,19.8,.587,.004,.254,8.0,19.3,13.9,12.1,1.0,4.4,9.0,19.1,,6.3,4.4,10.7,.187,,1.7,2.7,4.4,4.4
248,Ed Nealy,PF,32,TOT,41,308,8.3,.464,.391,.174,4.4,19.2,11.7,6.1,1.9,0.4,8.6,11.0,,0.1,0.3,0.5,.073,,-3.0,-0.3,-3.3,-0.1
249,Melvin Newbern,SG,25,DET,33,311,11.5,.427,.071,.531,6.5,6.7,6.6,26.5,3.8,0.2,18.7,23.6,,-0.4,0.4,0.0,.000,,-2.7,0.5,-2.2,0.0
250,Johnny Newman,SF,29,CHH,64,1471,15.5,.597,.084,.449,5.5,4.9,5.2,11.4,1.5,0.7,12.3,20.5,,3.1,0.6,3.7,.120,,1.6,-1.9,-0.2,0.7
251,Ken Norman,SF,28,LAC,76,2477,15.7,.530,.039,.226,9.2,16.4,12.8,9.6,1.2,1.5,10.4,19.9,,2.7,2.5,5.2,.101,,0.3,0.1,0.4,1.5
